TRAP_ID,X,Y
1,504286,7197714
2,506286,7197714
3,514286,7197714
4,516286,7197714
5,504286,7199714
6,506286,7199714
7,516286,7199714
8,518286,7199714
9,502286,7201714
10,504286,7201714
11,506286,7201714
12,508286,7201714
13,510286,7201714
14,518286,7201714
15,500286,7203714
16,502286,7203714
17,504286,7203714
18,506286,7203714
19,508286,7203714
20,510286,7203714
21,512286,7203714
22,514286,7203714
23,516286,7203714
24,518286,7203714
25,500286,7205714
26,502286,7205714
27,504286,7205714
28,506286,7205714
29,508286,7205714
30,510286,7205714
31,512286,7205714
32,514286,7205714
33,516286,7205714
34,518286,7205714
35,520286,7205714
36,498286,7207714
37,500286,7207714
38,504286,7207714
39,506286,7207714
40,508286,7207714
41,510286,7207714
42,512286,7207714
43,514286,7207714
44,516286,7207714
45,518286,7207714
46,520286,7207714
47,522286,7207714
48,498286,7209714
49,500286,7209714
50,502286,7209714
51,504286,7209714
52,506286,7209714
53,508286,7209714
54,510286,7209714
55,512286,7209714
56,516286,7209714
57,520286,7209714
58,522286,7209714
59,502286,7211714
60,504286,7211714
61,506286,7211714
62,512286,7211714
63,514286,7211714
64,516286,7211714
65,518286,7211714
66,520286,7211714
67,514286,7213714
68,516286,7213714
